년도,모델명,제조사,유종,배기량,복합연비,등급,CO2 배출량,평균주행거리(km),경유 단가(원/L),1년 유지비(원)
2022,포터 2.5디젤 초장축 슈퍼캡 AT(22),현대,경유,2497,8.8,5등급,221,15000,"1,474.20","2,512,840"
2022,"팰리세이드 2.2디젤 AWD 8인(18""타이어)",현대,경유,2199,11.8,3등급,163,15000,"1,474.20","1,873,983"
2022,BMW 730Ld xDrive,BMW,경유,2993,11.5,4등급,167,15000,"1,474.20","1,922,869"
2022,포터 2.5디젤 장축 슈퍼캡(유로6) (15),현대,경유,2497,9.6,4등급,202,15000,"1,474.20","2,303,437"
2022,G70 2.2디젤 2WD_18인치타이어 (15),현대,경유,2199,14.5,2등급,130,15000,"1,474.20","1,525,034"
2022,"카니발 2.2디젤 2WD 9인승 (19"" 타이어)",기아,경유,2199,11.3,4등급,171,15000,"1,474.20","1,956,902"
2022,BMW 530d RDE,BMW,경유,2993,12.6,3등급,151,15000,"1,474.20","1,755,000"
2022,G4 렉스턴 2.2 7AT 4WD SCR 5인승,쌍용,경유,2157,10.1,4등급,194,15000,"1,474.20","2,189,405"
2022,BMW 420d Gran Coupe RDE,BMW,경유,1995,12.4,3등급,153,15000,"1,474.20","1,783,306"
2022,그랜드 스타렉스 2.5디젤 3밴 (15),현대,경유,2497,11,4등급,175,15000,"1,474.20","2,010,272"
2022,포터 2.5디젤 장축 슈퍼캡 MT(강화유로6),현대,경유,2497,9.9,4등급,195,15000,"1,474.20","2,233,636"
2022,포터 2.5디젤 4WD 더블캡(유로6) (15),현대,경유,2497,8.8,5등급,223,15000,"1,474.20","2,512,840"
2022,렉스턴 2.2 8AT 2WD SCR Step2 5인승 ISG,쌍용,경유,2157,11.6,3등급,167,15000,"1,474.20","1,906,293"
